event_id,source_id,page_reference,quote
7702,1450907,https://www.wikidata.org/wiki/Q107503951,
7703,1451700,https://www.wikidata.org/wiki/Q107564535,
7704,1452520,https://www.wikidata.org/wiki/Q107590092,
7705,1453285,https://www.wikidata.org/wiki/Q107646912,
7706,1453547,https://www.wikidata.org/wiki/Q107676069,
7707,1455008,https://www.wikidata.org/wiki/Q108000206,
7708,1455305,https://www.wikidata.org/wiki/Q108044582,
7709,1455996,https://www.wikidata.org/wiki/Q108085294,
7710,1457491,https://www.wikidata.org/wiki/Q108180729,
7712,1464194,https://www.wikidata.org/wiki/Q108668856,
7713,1465081,https://www.wikidata.org/wiki/Q108731312,
7714,1465880,https://www.wikidata.org/wiki/Q108757719,
7715,1467649,https://www.wikidata.org/wiki/Q108830836,
7716,1468016,https://www.wikidata.org/wiki/Q108855890,
7717,1468088,https://www.wikidata.org/wiki/Q108860691,
7718,1468140,https://www.wikidata.org/wiki/Q108864994,
7719,1468520,https://www.wikidata.org/wiki/Q108888166,
7720,1470765,https://www.wikidata.org/wiki/Q109044457,
7721,1470822,https://www.wikidata.org/wiki/Q109065545,
7722,1471765,https://www.wikidata.org/wiki/Q109255616,
7723,1472054,https://www.wikidata.org/wiki/Q109285073,
7731,1487600,https://www.wikidata.org/wiki/Q109973486,
7732,1492370,https://www.wikidata.org/wiki/Q110105948,
7733,1499671,https://www.wikidata.org/wiki/Q110386978,
7734,1499951,https://www.wikidata.org/wiki/Q110398471,
7735,1501704,https://www.wikidata.org/wiki/Q110448328,
7736,1502264,https://www.wikidata.org/wiki/Q110493057,
7737,1502642,https://www.wikidata.org/wiki/Q110508489,
7738,1502753,https://www.wikidata.org/wiki/Q110517177,
7739,1503492,https://www.wikidata.org/wiki/Q110549924,
7740,1506827,https://www.wikidata.org/wiki/Q110700018,
7741,1507775,https://www.wikidata.org/wiki/Q110772603,
7742,1508407,https://www.wikidata.org/wiki/Q110823544,
7743,1508546,https://www.wikidata.org/wiki/Q110832969,
7744,1509694,https://www.wikidata.org/wiki/Q110876689,
7745,1509915,https://www.wikidata.org/wiki/Q110895723,
7746,1510242,https://www.wikidata.org/wiki/Q110919095,
7748,1511606,https://www.wikidata.org/wiki/Q111014898,
7749,1511607,https://www.wikidata.org/wiki/Q111014904,
7750,1512023,https://www.wikidata.org/wiki/Q111032201,
7752,1514272,https://www.wikidata.org/wiki/Q111207488,
7754,1514319,https://www.wikidata.org/wiki/Q111211182,
7755,1514325,https://www.wikidata.org/wiki/Q111211636,
7756,1515063,https://www.wikidata.org/wiki/Q111244312,
7757,1515559,https://www.wikidata.org/wiki/Q111291326,
7759,1517363,https://www.wikidata.org/wiki/Q111383190,
7760,1518045,https://www.wikidata.org/wiki/Q111440518,
7761,1520332,https://www.wikidata.org/wiki/Q111536212,
7762,1522196,https://www.wikidata.org/wiki/Q111688088,
7802,1620103,https://www.wikidata.org/wiki/Q115940681,
7767,1524632,https://www.wikidata.org/wiki/Q111951986,
7768,1528011,https://www.wikidata.org/wiki/Q112114966,
7770,1529779,https://www.wikidata.org/wiki/Q112181341,
7771,1531334,https://www.wikidata.org/wiki/Q112232807,
7772,1554197,https://www.wikidata.org/wiki/Q112555199,
7773,1555687,https://www.wikidata.org/wiki/Q112609814,
7774,1557551,https://www.wikidata.org/wiki/Q112762735,
7775,1558020,https://www.wikidata.org/wiki/Q112814277,
7778,1560806,https://www.wikidata.org/wiki/Q113028380,
7779,1561524,https://www.wikidata.org/wiki/Q113144550,
7780,1562224,https://www.wikidata.org/wiki/Q113239692,
7781,1563127,https://www.wikidata.org/wiki/Q113349849,
7782,1563133,https://www.wikidata.org/wiki/Q113350514,
7783,1564077,https://www.wikidata.org/wiki/Q113408026,
7784,1567260,https://www.wikidata.org/wiki/Q113581491,
7785,1567716,https://www.wikidata.org/wiki/Q113627810,
7787,1568722,https://www.wikidata.org/wiki/Q113686825,
7788,1577793,https://www.wikidata.org/wiki/Q113840445,
7789,1577797,https://www.wikidata.org/wiki/Q113840936,
7790,1577798,https://www.wikidata.org/wiki/Q113840941,
7791,1579117,https://www.wikidata.org/wiki/Q113954909,
