event_id,person_id,role,description
25279,1636372,conflict,
27439,1636375,conflict,
22775,1636385,conflict,
16750,1636403,conflict,
25655,1636403,conflict,
19649,1636455,conflict,
5256,1636455,conflict,
14278,1636455,conflict,
11066,1636455,conflict,
8153,1636455,conflict,
23169,1636455,conflict,
22478,1636487,conflict,
19649,1636488,conflict,
25598,1636492,conflict,
5823,1636492,conflict,
14733,1636492,conflict,
16788,1636492,conflict,
16233,1636494,conflict,
5334,1636495,conflict,
19665,1636495,conflict,
8371,1636495,conflict,
11446,1636502,conflict,
16785,1636512,conflict,
19665,1636515,conflict,
16763,1636515,conflict,
19649,1636531,conflict,
16792,1636546,conflict,
16755,1636546,conflict,
16763,1636559,conflict,
25294,1636565,conflict,
5833,1636568,conflict,
25655,1636576,conflict,
19225,1636577,conflict,
16792,1636582,conflict,
16755,1636582,conflict,
19665,1636639,conflict,
11120,1636639,conflict,
22619,1636721,conflict,
22478,1636733,conflict,
22545,1636733,conflict,
16742,1636733,conflict,
11056,1636733,conflict,
25303,1636733,conflict,
16785,1636733,conflict,
16741,1636791,conflict,
14175,1636791,conflict,
8842,1636791,conflict,
11440,1636791,conflict,
17447,1636791,conflict,
5870,1636791,conflict,
16742,1636796,conflict,
22619,1636834,conflict,
16755,1636967,conflict,
11861,1636967,conflict,
25848,1637030,conflict,
20272,1637030,conflict,
13840,1637118,conflict,
8806,1637198,conflict,
10779,1637237,conflict,
11840,1637237,conflict,
19589,1637339,conflict,
16741,1637339,conflict,
19788,1637343,conflict,
19591,1637343,conflict,
22665,1637343,conflict,
8115,1637343,conflict,
22448,1637359,conflict,
16757,1637430,conflict,
8098,1637453,conflict,
25286,1637519,conflict,
25286,1637538,conflict,
19588,1637577,conflict,
19589,1637590,conflict,
19589,1637592,conflict,
16785,1637599,conflict,
16742,1637647,conflict,
19589,1637737,conflict,
19588,1637808,conflict,
13888,1637811,conflict,
16785,1637833,conflict,
11008,1637849,conflict,
16785,1637877,conflict,
11068,1638017,conflict,
16901,1638017,conflict,
17024,1638017,conflict,
19649,1638081,conflict,
16742,1638096,conflict,
16750,1638108,conflict,
14356,1638125,conflict,
19767,1638125,conflict,
19604,1638125,conflict,
19589,1638141,conflict,
16741,1638141,conflict,
19614,1638231,conflict,
16742,1638254,conflict,
25574,1638254,conflict,
19589,1638255,conflict,
16755,1638276,conflict,
14193,1638276,conflict,
24195,1638334,conflict,
19589,1638383,conflict,
20319,1638386,conflict,
5935,1638386,conflict,
16785,1638459,conflict,
16742,1638459,conflict,
16763,1638504,conflict,
8418,1638585,conflict,
5370,1638585,conflict,
22873,1638625,conflict,
21753,1638625,participant_in,
14175,1638694,conflict,
11007,1638696,participant_in,
22566,1638763,conflict,
25574,1638851,conflict,
16750,1638856,conflict,
22478,1638864,conflict,
8890,1638867,conflict,
22478,1638950,conflict,
25407,1638969,conflict,
16859,1638969,conflict,
25598,1638969,conflict,
13997,1638969,conflict,
5823,1638969,conflict,
20300,1639024,conflict,
7412,1639024,conflict,
25600,1639024,conflict,
19588,1639086,conflict,
16987,1639086,conflict,
19649,1639191,conflict,
19589,1639310,conflict,
5268,1639310,conflict,
14111,1639310,conflict,
11010,1639310,conflict,
11440,1639310,conflict,
11466,1639310,conflict,
25764,1639310,conflict,
25414,1639310,conflict,
16755,1639331,conflict,
14108,1639345,conflict,
8098,1639404,conflict,
11600,1639460,conflict,
22894,1639503,conflict,
11007,1639629,participant_in,
8124,1639646,conflict,
8130,1639646,conflict,
20023,1639646,conflict,
8424,1639677,conflict,
16927,1639677,conflict,
5670,1639678,conflict,
17195,1639725,conflict,
5194,1639750,conflict,
20098,1639833,conflict,
25286,1639903,conflict,
13883,1639906,conflict,
16785,1639943,conflict,
16755,1639952,conflict,
22742,1640018,conflict,
19665,1640042,conflict,
